customer_tweet_id,customer_text,predicted_intent,retrieved_support_text,retrieval_score,draft_reply,human_evidence_supported,human_helpful,human_correct,human_clear,human_notes
2901917,@AppleSupport cannot upload any via IG. When attempting to text or email   or share photos the message above appears.    This occurred before last update. Seemed to be fixed. But now photos   taken prior to update with phone show this error. https\://t.co/KAStiBxDwZ,software\_update,@382466 That's certainly not what we'd expect you to experience. DM us   and we'll continue there. https\://t.co/GDrqU22YpT,0.198088,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @382466 That's certainly not what we'd expect you to experience. DM us and   we'll continue there. https\://t.co/GDrqU22YpT If that does not resolve the   issue, Apple Support can help with the next troubleshooting or service step.",FALSE,FALSE,FALSE,TRUE,Retrieved reply is only a generic DM request and does not address the photo-upload error.
177807,My sister was able to unlock my phone using Face ID.... I thought those   odds were supposed to be like 1 in a million. Wtf @115858,unclear,@511686 We'd like to know more. DM us the details and we'll go from   there. https\://t.co/GDrqU22YpT,0.253028,Iâ€™m sorry youâ€™re running into   this. Could you share a little more detail about what is happening and which   device or software version youâ€™re using?,TRUE,TRUE,TRUE,TRUE,The reply appropriately asks for missing details because the issue needs clarification.
2699831,@AppleSupport My music will only play for a second and then wonâ€™t play   any more.,app\_or\_feature\_issue,@709714 Is it doing this with one particular device or multiple?,0.382701,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @709714 Is it doing this with one particular device or multiple? If that does   not resolve the issue, Apple Support can help with the next troubleshooting   or service step.",TRUE,TRUE,TRUE,TRUE,Retrieved example is about music playback and the draft asks for more context.
620177,"@AppleSupport it just closes unexpectedly, like iï¸ hit the home button.   but iï¸ donâ€™t hit the home button.",unclear,@456280 We can help out. Could you Direct Message us and let us know what   iOS version you're on? https\://t.co/GDrqU22YpT,0.339039,Iâ€™m sorry youâ€™re running into   this. Could you share a little more detail about what is happening and which   device or software version youâ€™re using?,TRUE,TRUE,TRUE,TRUE,The draft appropriately asks for device/iOS details for an underspecified closing-app issue.
2949605,@AppleSupport Have received an odd email with links that I can't tell if   they are legit or not.  I do not own   iPhone which could be a clue.  But if   someone compromised my account elsewhere maybe?  Looking for your thoughts.   https\://t.co/vC6HyKAFAq,information\_request,"@123066 Let's team up on this. Send us a DM with the iOS version your   iPhone is running, and we'll meet you there. https\://t.co/GDrqU22YpT",0.239284,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @123066 Let's team up on this. Send us a DM with the iOS version your iPhone   is running, and we'll meet you there. https\://t.co/GDrqU22YpT If that does   not resolve the issue, Apple Support can help with the next troubleshooting   or service step.",FALSE,FALSE,FALSE,TRUE,Retrieved evidence is unrelated to the suspicious email/account concern.
2639631,@AppleSupport i need to delete cc from Wallet/Apple Pay?,app\_or\_feature\_issue,@513893 We offer support via Twitter in English. Contact us for help in   your preferred language here: https\://t.co/IBIY3vMgPj,0.341983,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @513893 We offer support via Twitter in English. Contact us for help in your   preferred language here: https\://t.co/IBIY3vMgPj If that does not resolve the   issue, Apple Support can help with the next troubleshooting or service step.",FALSE,FALSE,FALSE,TRUE,"Retrieved evidence is about language support, not removing a card from Wallet."
587046,@AppleSupport why doesnâ€™t notes work on the iPhone X also canâ€™t close   ebay photos on listings without force closing the app.. want to give me my   thousand quid back?,app\_or\_feature\_issue,@446450  Hereâ€™s what you can do   to work around the issue until itâ€™s fixed in a future software update:   https\://t.co/qODbOsp4wz,0.245165,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @446450  Hereâ€™s what you can do to   work around the issue until itâ€™s fixed in a future software update: https\://t.co/qODbOsp4wz   If that does not resolve the issue, Apple Support can help with the next   troubleshooting or service step.",TRUE,TRUE,TRUE,TRUE,Historical evidence is a relevant workaround for the reported app issues.
588114,@AppleSupport  Strange!! My phone   having iOS 11.2 rebooting after every couple of minutes. Totally Unusable.,software\_update,"@336275 We can help. Do you know what version of the iOS is on the   device? If not, you can check under Settings &gt; General &gt; About   &gt; Version",0.309902,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @336275 We can help. Do you know what version of the iOS is on the device? If   not, you can check under Settings &gt; General &gt; About &gt;   Version If that does not resolve the issue, Apple Support can help with the   next troubleshooting or service step.",TRUE,FALSE,FALSE,TRUE,"Evidence asks for iOS version, but the draft does not directly address severe repeated rebooting."
146553,@115858 @4792 CarPlay and iPhoneX and the 2017 M240i donâ€˜t work   together. When is a fix for that coming?,information\_request,@630347 Hereâ€™s what you can do to work around the issue until itâ€™s   fixed in a future software update: https\://t.co/xXaXeeSRt9,0.264222,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @630347 Hereâ€™s what you can do to work around the issue until itâ€™s fixed   in a future software update: https\://t.co/xXaXeeSRt9 If that does not resolve   the issue, Apple Support can help with the next troubleshooting or service   step.",TRUE,TRUE,TRUE,TRUE,The workaround evidence is relevant to a compatibility/fix question.
567680,"@115858 If I wanted Bluetooth on, ad put it on. Stop activating it when a   switch ma phone on or click off airplane mode. Fucking get this sorted pronto",connectivity,@193855 We want to help. Have you seen the steps here for Wi-Fi and   Bluetooth on iOS 11? https\://t.co/G7BHuQnDS6,0.227826,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @193855 We want to help. Have you seen the steps here for Wi-Fi and Bluetooth   on iOS 11? https\://t.co/G7BHuQnDS6 If that does not resolve the issue, Apple   Support can help with the next troubleshooting or service step.",TRUE,TRUE,TRUE,TRUE,Retrieved evidence directly concerns Wi-Fi/Bluetooth on iOS 11.
585923,Hi @AppleSupport my old iPhone 6s is shutting down and bugging me out   every 20 seconds ðŸ˜ž please help https\://t.co/Fxaxn1qwSU,unclear,@531463 Hereâ€™s what you can do to work around the issue until itâ€™s   fixed in a future software update: https\://t.co/xXaXeeSRt9,0.264689,Iâ€™m sorry youâ€™re running into   this. Could you share a little more detail about what is happening and which   device or software version youâ€™re using?,FALSE,FALSE,FALSE,TRUE,Retrieved evidence does not address repeated shutdowns.
550693,@115858 my iPhone wonâ€™t stop rebooting every 30 seconds! Driving me   insane!!,device\_performance,@475067 We'd like to help. Send us a DM with your iOS version and we'll   go from there: https\://t.co/GDrqU22YpT,0.42864,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @475067 We'd like to help. Send us a DM with your iOS version and we'll go   from there: https\://t.co/GDrqU22YpT If that does not resolve the issue, Apple   Support can help with the next troubleshooting or service step.",TRUE,TRUE,TRUE,TRUE,"The historical response asks for the iOS version, a reasonable next diagnostic step."
174148,iPhone X has a clicking noise on   right side of phone <br>     <br>     @115858 @AppleSupport help,unclear,@436643 Check your order status here: https\://t.co/jr7MZtpSNY  or reach our Sales Support for assistance:   https\://t.co/8yjRd1Xo0i,0.290067,Iâ€™m sorry youâ€™re running into   this. Could you share a little more detail about what is happening and which   device or software version youâ€™re using?,FALSE,FALSE,FALSE,TRUE,"Retrieved evidence concerns order status, unrelated to a clicking noise."
61350,@AppleSupport Why is the Apple Store down? ðŸ˜Š,purchase\_repair\_support,"@520248 According to our system status link, everything is good:   https\://t.co/7NVrDovSd8 Anything we can help with?",0.578539,"Iâ€™m sorry youâ€™re running into   this. Based on a similar Apple Support case, a relevant next step was:   @520248 According to our system status link, everything is good:   https\://t.co/7NVrDovSd8 Anything we can help with? If that does not resolve   the issue, Apple Support can help with the next troubleshooting or service   step.",TRUE,TRUE,TRUE,TRUE,System-status evidence is directly relevant to the Apple Store being down.
