customer_tweet_id,customer_time,customer_text,support_tweet_id,support_time,support_text,gold_intent,gold_escalate,gold_escalation_reason,annotation_notes
2621127,2017-11-17 13:15:30+00:00,@115858 @AppleSupport wtf is wrong with your updates. My keyboard and screen all over the place. It took 5 minutes to type this because the camera keeps opening while I type.....,2621125,Fri Nov 17 16:11:35 +0000 2017,"@740612 This isn't what we expect to happen so let's check into this together and get your phone working again. To get started, which exact iOS version is installed? Also, how much available space do you have on your iPhone?",app_or_feature_issue,False,Routine app or feature troubleshooting.,"The problem is tied to a specific Apple app, service, or feature."
2978350,2017-11-17 15:25:18+00:00,My phone is becoming really slow at processing anything pls help @AppleSupport,2978349,Fri Nov 17 17:02:00 +0000 2017,"@755842 We'd love to help with this. DM us more details about the issues you're seeing with slowness. Please make sure to include which exact version of the operating system and which model of iPhone you're using, and we'll get started. https://t.co/GDrqU22YpT",device_performance,False,Routine device troubleshooting.,"The main problem is general device instability, freezing, crashing, restarting, shutdown, lag, or battery behavior."
2645630,2017-11-17 19:03:53+00:00,"Eu sabia que o iPhone 7 descascava, mas o que eu não sabia é que essa porra começa a perder a tinta antes mesmo dos três primeiros meses de uso! @115858 @AppleSupport",2645629,Fri Nov 17 20:01:28 +0000 2017,"@746425 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",purchase_repair_support,True,"Purchase, repair, replacement, or service requires support.","The customer needs purchase, repair, replacement, warranty, refund, or service support."
2110846,2017-11-17 19:54:25+00:00,"@115858, I will never be convinced that swiping down from the top right is the ideal way to access Control Center. It is profoundly uncomfortable that such an essential part of iOS essentially requires both hands. Please rethink this, for the sake of iPhone's future accessibility.",2110845,Fri Nov 17 20:56:00 +0000 2017,@582048 Thanks for reaching out! We'd recommend leaving that request on our feedback page: https://t.co/eTPVYVFyd8,information_request,False,Routine information request.,The customer is primarily asking for information or instructions.
2638508,2017-11-17 19:54:29+00:00,"@AppleSupport According to my phone, the charger I’ve been using for years now is suddenly “invalid”...? It worked without a hitch before that new update. Just letting you all know it was a problem. Also, don’t misinterpret that. I’m not trying to be condescending.",2638506,Fri Nov 17 21:11:35 +0000 2017,@744650 Let's look into this together. What iOS are you running?,software_update,False,Routine software update troubleshooting.,The message identifies an operating-system update as the main issue or cause.
2639631,2017-11-17 20:33:23+00:00,@AppleSupport i need to delete cc from Wallet/Apple Pay?,2639630,Fri Nov 17 21:40:00 +0000 2017,@744945 Check out this link for the steps to take to remove a card from Apple Pay: https://t.co/qtyk71JfU1,app_or_feature_issue,False,Routine app or feature troubleshooting.,"The problem is tied to a specific Apple app, service, or feature."
2110848,2017-11-18 18:37:12+00:00,"@AppleSupport This didn't help much the trusted ""number"" isn't a SIM card I have anymore",2110850,Sat Nov 18 19:31:29 +0000 2017,"@436865 If you're still having issues, you may need to reach out to our specialized team that handles all things Apple ID:  https://t.co/UJm15vmMM2",account_security,True,Account or security concern.,"The message concerns account access, authentication, suspicious activity, or security."
2652515,2017-11-19 03:33:19+00:00,@AppleSupport I recently bought a physical copy of Taylor Swifts 'Reputation' and it WILL not sync to my phone through my iTunes. WHY?! I'm ready to scream. SOMEONE PLEASE HELP ME.,2652513,Sun Nov 19 03:50:28 +0000 2017,@748072 Help is on the way. What happens when you try to sync? Send us a DM to get started. https://t.co/GDrqU22YpT,app_or_feature_issue,False,Routine app or feature troubleshooting.,"The problem is tied to a specific Apple app, service, or feature."
2686707,2017-11-19 04:11:56+00:00,@AppleSupport you need to fix the issue where the music stops playing by itself I’m getting tired of restarting my phone,2686706,Sun Nov 19 13:37:00 +0000 2017,"@755520 We'd like to see if we can help with this. Does this happen with the Music app or a third-party app? Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",app_or_feature_issue,False,Routine app or feature troubleshooting.,"The problem is tied to a specific Apple app, service, or feature."
2688219,2017-11-19 06:16:12+00:00,@AppleSupport The update has taken away my 7’s ability to connect with sprint. Just “searching”. 50 days out of warranty. Help?!,2688218,Sun Nov 19 14:00:32 +0000 2017,@755868 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,purchase_repair_support,True,"Purchase, repair, replacement, or service requires support.","The customer needs purchase, repair, replacement, warranty, refund, or service support."
